id,symbol,name
bitcoin,btc,Bitcoin
ethereum,eth,Ethereum
binancecoin,bnb,Binance Coin
tether,usdt,Tether
solana,sol,Solana
usd-coin,usdc,USD Coin
cardano,ada,Cardano
ripple,xrp,XRP
polkadot,dot,Polkadot
terra-luna,luna,Terra
avalanche-2,AVAX,Avalanche
dogecoin,doge,Dogecoin
shiba-inu,shib,Shiba Inu
matic-network,matic,Polygon
binance-usd,busd,Binance USD
crypto-com-chain,cro,Crypto.com Coin
wrapped-bitcoin,wbtc,Wrapped Bitcoin
cosmos,atom,Cosmos
algorand,algo,Algorand
chainlink,link,Chainlink
litecoin,ltc,Litecoin
terrausd,ust,TerraUSD
near,near,Near
dai,dai,Dai
uniswap,uni,Uniswap
bitcoin-cash,bch,Bitcoin Cash
tron,trx,TRON
okb,okb,OKB
fantom,ftm,Fantom
stellar,xlm,Stellar
axie-infinity,axs,Axie Infinity
staked-ether,steth,Lido Staked Ether
hedera-hashgraph,hbar,Hedera
vechain,vet,VeChain
internet-computer,icp,Internet Computer
ftx-token,ftt,FTX Token
compound-ether,ceth,cETH
the-sandbox,sand,The Sandbox
filecoin,fil,Filecoin
elrond-erd-2,egld,Elrond
theta-token,theta,Theta Network
ethereum-classic,etc,Ethereum Classic
magic-internet-money,mim,Magic Internet Money
tezos,xtz,Tezos
decentraland,mana,Decentraland
monero,xmr,Monero
helium,hnt,Helium
iota,miota,IOTA
harmony,one,Harmony
klay-token,klay,Klaytn
leo-token,leo,LEO Token
aave,aave,Aave
cdai,cdai,cDAI
the-graph,grt,The Graph
gala,gala,Gala
arweave,ar,Arweave
eos,eos,EOS
pancakeswap-token,cake,PancakeSwap
compound-usd-coin,cusdc,cUSDC
flow,flow,Flow
kusama,ksm,Kusama
enjincoin,enj,Enjin Coin
bittorrent-2,btt,BitTorrent
amp-token,amp,Amp
curve-dao-token,crv,Curve DAO Token
loopring,lrc,Loopring
blockstack,stx,Stacks
quant-network,qnt,Quant
radix,xrd,Radix
olympus,ohm,Olympus
bitcoin-cash-sv,bsv,Bitcoin SV
thorchain,rune,THORChain
ecash,xec,eCash
maker,mkr,Maker
convex-finance,cvx,Convex Finance
celo,celo,Celo
osmosis,osmo,Osmosis
basic-attention-token,bat,Basic Attention Token
kadena,kda,Kadena
frax,frax,Frax
theta-fuel,tfuel,Theta Fuel
neo,neo,NEO
huobi-btc,hbtc,Huobi BTC
zcash,zec,Zcash
spell-token,spell,Spell Token
celsius-degree-token,cel,Celsius Network
kucoin-shares,kcs,KuCoin Token
chiliz,chz,Chiliz
sushi,sushi,Sushi
waves,waves,Waves
oasis-network,rose,Oasis Network
ecomi,omi,ECOMI
huobi-token,ht,Huobi Token
nexo,nexo,NEXO
dash,dash,Dash
compound-governance-token,comp,Compound
havven,snx,Synthetix Network Token
yearn-finance,yfi,yearn.finance
holotoken,hot,Holo
true-usd,tusd,TrueUSD
